Placement,Players
1st,Cody Schwab
2nd,Mang0
3rd,Zain
4th,bobby big ballz
5th,"Hungrybox
SDJ"
7th,"Wally
Jmook"
9th,"Soonsay
KoDoRiN
aMSa
Joshman"
13th,"Krudo
moky
Junebug
Ossify"
17th,"Axe
Salt
Colbol
Zamu
2saint
mvlvchi
Wizzrobe
Preeminent"
25th,"n0ne
Egg$
Gahtzu
S2J
Khryke
Zanya
Lucky
Maelstrom"
33rd,"Panko
KJH
SDeems
Plup
mayb
Dawson
Aklo
Chango
Zasa
Chem
Spark
ckyulmiqnudaetr
Balloon Day
Fro116
CPU0
Akir"
49th,"Kalvar
billybopeep
Beezy
salami
Paladin
Louis
Unsure
Komodo
Inky
max
Lowercase hero
essy
MOF
Wevans
Drephen
Panda"
1st,Cody Schwab
2nd,aMSa
3rd,Zain
4th,Hungrybox
5th,"essy
Junebug"
7th,"Aklo
moky"
9th,"Krudo
Chem
SDJ
Joshman"
13th,"Soonsay
Salt
mvlvchi
Mang0"
17th,"Axe
KJH
Drephen
Zamu
Wevans
Jmook
Wizzrobe
Plup"
25th,"Panda
Zasa
Fro116
bobby big ballz
ckyulmiqnudaetr
Zanya
MOF
S2J"
33rd,"Kalvar
Egg$
SDeems
Chango
Paladin
Dawson
Balloon Day
Maelstrom
Inky
Lucky
Spark
Khryke
Ossify
Gahtzu
Colbol
Akir"
49th,"Panko
billybopeep
Beezy
salami
mayb
Louis
Unsure
Komodo
KoDoRiN
max
Lowercase hero
Wally
Preeminent
2saint
CPU0
n0ne"
1st,Cody Schwab
2nd,Zain
3rd,Junebug
4th,Plup
5th,"Aklo
Wizzrobe"
7th,"bobby big ballz
aMSa"
9th,"Soonsay
Akir
Jmook
ckyulmiqnudaetr"
13th,"Maelstrom
moky
Hungrybox
SDeems"
17th,"n0ne
KoDoRiN
Unsure
Egg$
2saint
Joshman
MOF
Zasa"
25th,"Panda
Colbol
Chem
Zamu
Dawson
Spark
Lucky
S2J"
33rd,"Panko
Mang0
Drephen
salami
mayb
Fro116
SDJ
Krudo
essy
max
Lowercase hero
Wally
Ossify
Wevans
Komodo
Axe"
49th,"Kalvar
billybopeep
Beezy
Chango
Paladin
Louis
Balloon Day
Salt
Inky
Gahtzu
Zanya
Khryke
Preeminent
mvlvchi
CPU0
KJH"
1st,Zain
2nd,Cody Schwab
3rd,Soonsay
4th,SDJ
5th,"Hungrybox
Lucky"
7th,"Mang0
Chem"
9th,"Panda
moky
Jmook
ckyulmiqnudaetr"
13th,"Plup
aMSa
Junebug
S2J"
17th,"Axe
Komodo
billybopeep
Aklo
Joshman
Spark
Wizzrobe
Salt"
25th,"Krudo
KoDoRiN
Beezy
Zamu
Wevans
Louis
Balloon Day
Wally"
33rd,"Kalvar
KJH
Drephen
salami
mayb
mvlvchi
MOF
Preeminent
Zasa
max
Zanya
Khryke
Ossify
Fro116
Colbol
Akir"
49th,"Panko
Egg$
SDeems
Chango
Paladin
Dawson
Unsure
Maelstrom
Inky
Gahtzu
Lowercase hero
essy
bobby big ballz
2saint
CPU0
n0ne"
1st,Cody Schwab
2nd,Joshman
3rd,Hungrybox
4th,Jmook
5th,"Wally
aMSa"
7th,"Zain
moky"
9th,"Inky
Salt
Chem
CPU0"
13th,"Soonsay
Gahtzu
Spark
Plup"
17th,"Akir
Zamu
Colbol
Ossify
ckyulmiqnudaetr
Fro116
mayb
S2J"
25th,"Kalvar
KJH
Wevans
Aklo
2saint
Zanya
Balloon Day
Chango"
33rd,"n0ne
Egg$
Beezy
Mang0
Paladin
Dawson
bobby big ballz
Komodo
Axe
Lucky
Junebug
essy
Preeminent
SDJ
Zasa
Krudo"
49th,"Panko
billybopeep
SDeems
salami
Wizzrobe
Louis
Unsure
Maelstrom
KoDoRiN
max
Lowercase hero
Khryke
MOF
mvlvchi
Drephen
Panda"
1st,aMSa
2nd,moky
3rd,Mang0
4th,Wevans
5th,"Panda
SDJ"
7th,"Soonsay
Wizzrobe"
9th,"Zain
Salt
mvlvchi
Aklo"
13th,"Plup
Akir
Junebug
ckyulmiqnudaetr"
17th,"Krudo
Zasa
Jmook
Zamu
Joshman
Beezy
Lucky
KoDoRiN"
25th,"Axe
Kalvar
2saint
max
Hungrybox
Spark
Unsure
Preeminent"
33rd,"Panko
Egg$
Colbol
Chango
mayb
Louis
bobby big ballz
Komodo
essy
Ossify
Zanya
Wally
S2J
Gahtzu
CPU0
n0ne"
49th,"Cody Schwab
billybopeep
SDeems
salami
Paladin
Dawson
Balloon Day
Maelstrom
Inky
Chem
Lowercase hero
Khryke
MOF
Fro116
Drephen
KJH"
1st,Cody Schwab
2nd,Zain
3rd,aMSa
4th,2saint
5th,"S2J
Chem"
7th,"Mang0
bobby big ballz"
9th,"Krudo
Lucky
Spark
Aklo"
13th,"Plup
Salt
Jmook
Khryke"
17th,"Axe
KoDoRiN
Colbol
max
ckyulmiqnudaetr
Fro116
Ossify
Soonsay"
25th,"Panda
Akir
SDJ
Zamu
Wizzrobe
Zanya
Balloon Day
Wally"
33rd,"Kalvar
Egg$
SDeems
salami
Hungrybox
Dawson
moky
Maelstrom
Zasa
mayb
Junebug
Joshman
MOF
mvlvchi
CPU0
KJH"
49th,"Panko
billybopeep
Beezy
Chango
Paladin
Louis
Unsure
Komodo
Inky
Gahtzu
Lowercase hero
essy
Preeminent
Wevans
Drephen
n0ne"
1st,Cody Schwab
2nd,Zain
3rd,Hungrybox
4th,aMSa
5th,"Mang0
Jmook"
7th,"Soonsay
moky"
9th,"Plup
Wizzrobe
Spark
Aklo"
13th,"Panda
Salt
Unsure
Wally"
17th,"Inky
CPU0
2saint
Zamu
Joshman
Junebug
Lucky
Axe"
25th,"n0ne
Egg$
Colbol
S2J
Wevans
Dawson
bobby big ballz
Komodo"
33rd,"Kalvar
KJH
Beezy
salami
Paladin
mvlvchi
Balloon Day
Preeminent
essy
max
Zanya
Lowercase hero
Ossify
Chem
Zasa
Krudo"
49th,"Panko
billybopeep
SDeems
Chango
mayb
Louis
SDJ
Maelstrom
KoDoRiN
Gahtzu
ckyulmiqnudaetr
Khryke
MOF
Fro116
Drephen
Akir"
1st,Zain
2nd,Cody Schwab
3rd,aMSa
4th,Mang0
5th,"Krudo
Wizzrobe"
7th,"Joshman
Junebug"
